渠道,产品名称,品牌,产品大类,重量(克),商品价¥,含税价¥,克单价¥/g,500g单价¥,20支成本¥
nov,Lancer Slices,F&K (Bulk),烟斗丝,28.3,38.3635,57.55,2.03,1015.0,27.86
nov,Lancer Slices,F&K (Bulk),烟斗丝,56.7,72.2456,108.37,1.91,955.0,26.42
nov,Lancer Slices,F&K (Bulk),烟斗丝,113.4,136.4111,204.62,1.8,900.0,25.1
nov,Lancer Slices,F&K (Bulk),烟斗丝,226.8,254.4892,381.73,1.68,840.0,23.66
nov,Lancer Slices,F&K (Bulk),烟斗丝,453.6,487.1825,730.77,1.61,805.0,22.82
nov,Black Bayou Mist,F&K (Bulk),烟斗丝,28.3,38.3635,57.55,2.03,1015.0,27.86
nov,Black Bayou Mist,F&K (Bulk),烟斗丝,56.7,72.2456,108.37,1.91,955.0,26.42
nov,Black Bayou Mist,F&K (Bulk),烟斗丝,113.4,136.4111,204.62,1.8,900.0,25.1
nov,Black Bayou Mist,F&K (Bulk),烟斗丝,226.8,254.4892,381.73,1.68,840.0,23.66
nov,Black Bayou Mist,F&K (Bulk),烟斗丝,453.6,487.1825,730.77,1.61,805.0,22.82
nov,Sterling Balkan,F&K (Bulk),烟斗丝,28.3,37.0055,55.51,1.96,980.0,27.02
nov,Sterling Balkan,F&K (Bulk),烟斗丝,56.7,69.5975,104.4,1.84,920.0,25.58
nov,Sterling Balkan,F&K (Bulk),烟斗丝,113.4,131.726,197.59,1.74,870.0,24.38
nov,Sterling Balkan,F&K (Bulk),烟斗丝,226.8,244.8474,367.27,1.62,810.0,22.94
nov,Sterling Balkan,F&K (Bulk),烟斗丝,453.6,468.1705,702.26,1.55,775.0,22.1
nov,Creme Brulee,Sutliff (Bulk),烟斗丝,28.3,25.8699,38.8,1.37,685.0,19.94
nov,Creme Brulee,Sutliff (Bulk),烟斗丝,56.7,48.6843,73.03,1.29,645.0,18.98
nov,Creme Brulee,Sutliff (Bulk),烟斗丝,113.4,91.9366,137.9,1.22,610.0,18.14
nov,Creme Brulee,Sutliff (Bulk),烟斗丝,226.8,171.5833,257.37,1.13,565.0,17.06
nov,Creme Brulee,Sutliff (Bulk),烟斗丝,453.6,314.9202,472.38,1.04,520.0,15.98
nov,Lane 1-Q,Lane Limited,烟斗丝,28.3,27.16,40.74,1.44,720.0,20.78
nov,Lane 1-Q,Lane Limited,烟斗丝,56.7,51.1287,76.69,1.35,675.0,19.7
nov,Lane 1-Q,Lane Limited,烟斗丝,113.4,96.5538,144.83,1.28,640.0,18.86
nov,Lane 1-Q,Lane Limited,烟斗丝,226.8,180.614,270.92,1.19,595.0,17.78
nov,Lane 1-Q,Lane Limited,烟斗丝,453.6,346.29,519.44,1.15,575.0,17.3
sp,Lane Limited 1-Q,Lane Limited,烟斗丝,28.35,27.2958,40.94,1.44,720.0,20.78
sp,Lane Limited 1-Q,Lane Limited,烟斗丝,56.7,51.4003,77.1,1.36,680.0,19.82
sp,Lane Limited 1-Q,Lane Limited,烟斗丝,113.4,97.0291,145.54,1.28,640.0,18.86
sp,Lane Limited 1-Q,Lane Limited,烟斗丝,226.8,181.0214,271.53,1.2,600.0,17.9
sp,Lane Limited 1-Q,Lane Limited,烟斗丝,453.59,346.5616,519.84,1.15,575.0,17.3
sp,Lane Limited 1-Q,Lane Limited,烟斗丝,2267.96,1661.5809,2492.37,1.1,550.0,16.7
sp,Peter Stokkebye PS403 Luxury Bullseye Flake,Peter Stokkebye,烟斗丝,28.35,40.4005,60.6,2.14,1070.0,29.18
sp,Peter Stokkebye PS403 Luxury Bullseye Flake,Peter Stokkebye,烟斗丝,56.7,76.048,114.07,2.01,1005.0,27.62
sp,Peter Stokkebye PS403 Luxury Bullseye Flake,Peter Stokkebye,烟斗丝,113.4,143.6085,215.41,1.9,950.0,26.3
sp,Peter Stokkebye PS403 Luxury Bullseye Flake,Peter Stokkebye,烟斗丝,226.8,267.9334,401.9,1.77,885.0,24.74
sp,Peter Stokkebye PS403 Luxury Bullseye Flake,Peter Stokkebye,烟斗丝,453.59,512.9166,769.37,1.7,850.0,23.9
sp,Peter Stokkebye PS403 Luxury Bullseye Flake,Peter Stokkebye,烟斗丝,2267.96,737.8014,1106.7,0.49,245.0,9.38
sp,Peter Stokkebye PS400 Luxury Navy Flake,Peter Stokkebye,烟斗丝,28.35,32.7957,49.19,1.74,870.0,24.38
